Market,MarketName,Sector,Fetch_Time,up_0_3,up_3_5,up_5_7,up_7_plus,down_0_3,down_3_5,down_5_7,down_7_plus,unchanged,no_trade,total_turnover
JP,Japan 225 Index,Commercial Services,2026-09-01 01:00:00,3,0,0,0,3,0,0,0,0,0,7519982900.0
JP,Japan 225 Index,Communications,2026-09-01 01:00:00,3,0,0,0,0,0,0,0,0,0,23260177920.0
JP,Japan 225 Index,Consumer Durables,2026-09-01 01:00:00,20,0,0,0,3,0,0,0,0,0,123471675150.0
JP,Japan 225 Index,Consumer Non-Durables,2026-09-01 01:00:00,8,0,0,0,4,0,0,0,0,0,21862304250.0
JP,Japan 225 Index,Consumer Services,2026-09-01 01:00:00,1,0,0,0,1,0,0,0,0,0,4344610400.0
JP,Japan 225 Index,Distribution Services,2026-09-01 01:00:00,5,0,0,0,0,0,0,0,0,0,29523672600.0
JP,Japan 225 Index,Electronic Technology,2026-09-01 01:00:00,7,0,0,0,11,2,0,0,0,0,665032816850.0
JP,Japan 225 Index,Energy Minerals,2026-09-01 01:00:00,3,0,0,0,0,0,0,0,0,0,12481887750.0
JP,Japan 225 Index,Finance,2026-09-01 01:00:00,24,0,0,0,3,0,0,0,1,0,150138649800.0
JP,Japan 225 Index,Health Technology,2026-09-01 01:00:00,12,0,0,0,0,0,0,0,0,0,35326722750.0
JP,Japan 225 Index,Industrial Services,2026-09-01 01:00:00,6,0,0,0,0,0,0,0,0,0,8273767400.0
JP,Japan 225 Index,Miscellaneous,2026-09-01 01:00:00,0,0,0,0,1,0,0,0,0,0,38581865200.0
JP,Japan 225 Index,Non-Energy Minerals,2026-09-01 01:00:00,5,2,0,0,1,0,0,0,0,0,51129114730.0
JP,Japan 225 Index,Process Industries,2026-09-01 01:00:00,15,1,0,0,3,0,0,0,0,0,43538489090.0
JP,Japan 225 Index,Producer Manufacturing,2026-09-01 01:00:00,11,1,0,0,18,3,1,0,0,0,343842544350.0
JP,Japan 225 Index,Retail Trade,2026-09-01 01:00:00,5,0,0,0,7,0,0,0,0,0,43623749190.0
JP,Japan 225 Index,Technology Services,2026-09-01 01:00:00,9,0,0,0,3,0,0,0,0,0,49091936950.0
JP,Japan 225 Index,Transportation,2026-09-01 01:00:00,12,0,0,0,2,0,0,0,0,0,26829266330.0
JP,Japan 225 Index,Utilities,2026-09-01 01:00:00,3,2,0,0,0,0,0,0,0,0,25973947770.0
JP,All Japanese companies,Commercial Services,2026-09-01 01:00:00,123,2,0,1,170,10,4,1,28,0,22921753910.0
JP,All Japanese companies,Communications,2026-09-01 01:00:00,7,0,0,0,10,0,0,0,5,0,24351075220.0
