Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-09-09 00:18:36,26593381800.0,60389581700.0,208858459000.0
JP,Japan 225 Index,Communications,2026-09-09 00:18:36,61844689450.0,128822602250.0,425489000150.0
JP,Japan 225 Index,Consumer Durables,2026-09-09 00:18:36,404938914370.0,684688627190.0,2128284066540.0
JP,Japan 225 Index,Consumer Non-Durables,2026-09-09 00:18:36,88781423100.0,184963126900.0,603625777850.0
JP,Japan 225 Index,Consumer Services,2026-09-09 00:18:36,23507095000.0,41643532600.0,132444812000.0
JP,Japan 225 Index,Distribution Services,2026-09-09 00:18:36,126227764200.0,243241272750.0,832173657250.0
JP,Japan 225 Index,Electronic Technology,2026-09-09 00:18:36,3197561973400.0,6246141218950.0,16934014413450.0
JP,Japan 225 Index,Energy Minerals,2026-09-09 00:18:36,38374957700.0,70100795400.0,252466971550.0
JP,Japan 225 Index,Finance,2026-09-09 00:18:36,497888209250.0,996956666900.0,3670753784150.0
JP,Japan 225 Index,Health Technology,2026-09-09 00:18:36,125524066150.0,266586355650.0,907996248400.0
JP,Japan 225 Index,Industrial Services,2026-09-09 00:18:36,40925987100.0,66906733200.0,201547529400.0
JP,Japan 225 Index,Miscellaneous,2026-09-09 00:18:36,725690851600.0,1274026168800.0,2411810134800.0
JP,Japan 225 Index,Non-Energy Minerals,2026-09-09 00:18:36,101547512610.0,216581570350.0,783551536410.0
JP,Japan 225 Index,Process Industries,2026-09-09 00:18:36,166425701730.0,324534047050.0,1096931082310.0
JP,Japan 225 Index,Producer Manufacturing,2026-09-09 00:18:36,870021764200.0,1721363341970.0,5671626030920.0
JP,Japan 225 Index,Retail Trade,2026-09-09 00:18:36,150406842740.0,295759191200.0,1064779630270.0
JP,Japan 225 Index,Technology Services,2026-09-09 00:18:36,135740989630.0,302746236240.0,1071226214610.0
JP,Japan 225 Index,Transportation,2026-09-09 00:18:36,88539855670.0,190540307180.0,663083994100.0
JP,Japan 225 Index,Utilities,2026-09-09 00:18:36,39942239460.0,88503698780.0,365634042820.0
JP,All Japanese companies,Commercial Services,2026-09-09 00:18:36,63568889980.0,138971522750.0,479060127860.0
JP,All Japanese companies,Communications,2026-09-09 00:18:36,65246616650.0,135243651250.0,446688911650.0
JP,All Japanese companies,Consumer Durables,2026-09-09 00:18:36,470387434170.0,798113791140.0,2466263781290.0
JP,All Japanese companies,Consumer Non-Durables,2026-09-09 00:18:36,167730338200.0,357089747150.0,1152960642250.0
JP,All Japanese companies,Consumer Services,2026-09-09 00:18:36,106424012550.0,223776647950.0,660492658200.0
JP,All Japanese companies,Distribution Services,2026-09-09 00:18:36,177325205350.0,343067723450.0,1150985033950.0
JP,All Japanese companies,Electronic Technology,2026-09-09 00:18:36,3342165941740.0,6536102682180.0,17840366159320.0
JP,All Japanese companies,Energy Minerals,2026-09-09 00:18:36,45029288000.0,81503965100.0,289582703250.0
JP,All Japanese companies,Finance,2026-09-09 00:18:36,716624088440.0,1421153896440.0,5151840266550.0
JP,All Japanese companies,Government,2026-09-09 00:18:36,2151000.0,4302000.0,15057000.0
JP,All Japanese companies,Health Services,2026-09-09 00:18:36,1639589300.0,3282057100.0,10310959000.0
JP,All Japanese companies,Health Technology,2026-09-09 00:18:36,207349885350.0,424727353800.0,1352167238750.0
JP,All Japanese companies,Industrial Services,2026-09-09 00:18:36,108438077050.0,201402400050.0,613880699800.0
JP,All Japanese companies,Miscellaneous,2026-09-09 00:18:36,726661170500.0,1275665396900.0,2416781927700.0
JP,All Japanese companies,Non-Energy Minerals,2026-09-09 00:18:36,223191260310.0,447282777550.0,1300995898610.0
JP,All Japanese companies,Process Industries,2026-09-09 00:18:36,309454608580.0,588964515850.0,1970834139510.0
JP,All Japanese companies,Producer Manufacturing,2026-09-09 00:18:36,1254019134920.0,2471608549970.0,7746788794950.0
JP,All Japanese companies,Retail Trade,2026-09-09 00:18:36,233132873090.0,457871115100.0,1605790990070.0
JP,All Japanese companies,Technology Services,2026-09-09 00:18:36,578832432342.0,1301826280744.0,4047585272192.0
JP,All Japanese companies,Transportation,2026-09-09 00:18:36,120706967070.0,253065943580.0,907055115100.0
JP,All Japanese companies,Utilities,2026-09-09 00:18:36,63411036510.0,141852149380.0,581652458120.0
KR,All South Korean Companies,Commercial Services,2026-09-09 00:18:37,129426583868.0,256410352471.0,884685597471.0
KR,All South Korean Companies,Communications,2026-09-09 00:18:37,102012912667.0,184064082268.0,651061515734.0
KR,All South Korean Companies,Consumer Durables,2026-09-09 00:18:37,1623064170288.0,2792182646772.0,6734232579919.0
KR,All South Korean Companies,Consumer Non-Durables,2026-09-09 00:18:37,648210973857.0,1306935875828.0,3567782024940.0
KR,All South Korean Companies,Consumer Services,2026-09-09 00:18:37,110132104599.0,202359269004.0,685198920178.0
KR,All South Korean Companies,Distribution Services,2026-09-09 00:18:37,105811038107.0,184628445452.0,841975626742.0
KR,All South Korean Companies,Electronic Technology,2026-09-09 00:18:37,17531837623408.0,32062902977063.0,79461902734538.0
KR,All South Korean Companies,Energy Minerals,2026-09-09 00:18:37,163240792057.0,274775222768.0,1464171494083.0
KR,All South Korean Companies,Finance,2026-09-09 00:18:37,1620304752334.0,3163115448558.0,11808900384265.0
KR,All South Korean Companies,Health Services,2026-09-09 00:18:37,28092432510.0,57391773390.0,177455289150.0
KR,All South Korean Companies,Health Technology,2026-09-09 00:18:37,2684848493577.0,4881559456130.0,14017366420694.955
KR,All South Korean Companies,Industrial Services,2026-09-09 00:18:37,746159590294.0,1143217810648.0,2346158586809.0
KR,All South Korean Companies,Miscellaneous,2026-09-09 00:18:37,14992868528.0,30951564656.0,140056022408.0
KR,All South Korean Companies,Non-Energy Minerals,2026-09-09 00:18:37,541697764734.0,875159813802.0,2586589258334.0
KR,All South Korean Companies,Process Industries,2026-09-09 00:18:37,453920106259.0,864055363907.0,2792207082890.0
