Market,MarketName,Sector,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,53869222500.0,53869222500.0,91738947000.0
JP,Japan 225 Index,Communications,867138160300.0,867138160300.0,1389336586910.0
JP,Japan 225 Index,Consumer Durables,546089760930.0,546089760930.0,870377706370.0
JP,Japan 225 Index,Consumer Non-Durables,172384333700.0,172384333700.0,263136440550.0
JP,Japan 225 Index,Consumer Services,39370045700.0,39370045700.0,63914517450.0
JP,Japan 225 Index,Distribution Services,396088134200.0,396088134200.0,947849242800.0
JP,Japan 225 Index,Electronic Technology,1583625908950.0,1583625908950.0,2753320862200.0
JP,Japan 225 Index,Energy Minerals,72821591400.0,72821591400.0,107657948900.0
JP,Japan 225 Index,Finance,719235324800.0,719235324800.0,1097920679650.0
JP,Japan 225 Index,Health Technology,347624188700.0,347624188700.0,538795351200.0
JP,Japan 225 Index,Industrial Services,57372802450.0,57372802450.0,94118349950.0
JP,Japan 225 Index,Non-Energy Minerals,224154808480.0,224154808480.0,406011692040.0
JP,Japan 225 Index,Process Industries,486286072820.0,486286072820.0,787325774350.0
JP,Japan 225 Index,Producer Manufacturing,2070999674800.0,2070999674800.0,3420867392160.0
JP,Japan 225 Index,Retail Trade,252520037950.0,252520037950.0,388091103800.0
JP,Japan 225 Index,Technology Services,266324240140.0,266324240140.0,451566448990.0
JP,Japan 225 Index,Transportation,176648126450.0,176648126450.0,328139863210.0
JP,Japan 225 Index,Utilities,103185687100.0,103185687100.0,192891550450.0
JP,All Japanese companies,Commercial Services,111393051160.0,111399270160.0,202548474520.0
JP,All Japanese companies,Communications,872144797800.0,872144797800.0,1398215635060.0
JP,All Japanese companies,Consumer Durables,616243942430.0,616243942430.0,986315432020.0
JP,All Japanese companies,Consumer Non-Durables,300269138250.0,300269138250.0,502551303450.0
JP,All Japanese companies,Consumer Services,157996280100.0,157996280100.0,258352136470.0
JP,All Japanese companies,Distribution Services,482625709300.0,482625709300.0,1087685385100.0
JP,All Japanese companies,Electronic Technology,1939428617550.0,1939428617550.0,4143782317000.0
JP,All Japanese companies,Energy Minerals,83960641600.0,83960641600.0,123280708500.0
JP,All Japanese companies,Finance,1108978787450.0,1108978787450.0,1722057031070.0
JP,All Japanese companies,Government,7305000.0,24350000.0,7305000.0
JP,All Japanese companies,Health Services,2470862400.0,2470862400.0,4041102000.0
JP,All Japanese companies,Health Technology,450597043700.0,450597043700.0,702772242350.0
JP,All Japanese companies,Industrial Services,155508169100.0,155513209100.0,267528926800.0
JP,All Japanese companies,Miscellaneous,706713700.0,706713700.0,1389739100.0
JP,All Japanese companies,Non-Energy Minerals,445759607530.0,445760195930.0,725642629690.0
JP,All Japanese companies,Process Industries,773219135070.0,773219556070.0,1294322199200.0
JP,All Japanese companies,Producer Manufacturing,2740564060200.0,2740564243200.0,4548378194310.0
JP,All Japanese companies,Retail Trade,406530976980.0,406530976980.0,618949030270.0
JP,All Japanese companies,Technology Services,455738884562.0,455738884562.0,767443974782.0
JP,All Japanese companies,Transportation,221628261300.0,221628261300.0,422188284260.0
JP,All Japanese companies,Unknown,500000.0,500000.0,500000.0
JP,All Japanese companies,Utilities,154674147030.0,154674147030.0,290988060570.0
KR,All South Korean Companies,Commercial Services,430210730641.0,1348779590441.0,1348779590441.0
KR,All South Korean Companies,Communications,161077918455.0,414763234389.0,414763234389.0
KR,All South Korean Companies,Consumer Durables,3438532730361.0,9043815785479.0,9064078997303.0
KR,All South Korean Companies,Consumer Non-Durables,776577222423.0,2272791245823.0,2320320263419.0
KR,All South Korean Companies,Consumer Services,215051540975.0,670759504133.0,705382974570.0
KR,All South Korean Companies,Distribution Services,278775516658.0,982320190985.0,996896262769.0
KR,All South Korean Companies,Electronic Technology,29541195821830.0,93091722158494.0,95020068707212.0
KR,All South Korean Companies,Energy Minerals,212794185920.0,737454465667.0,737454465667.0
KR,All South Korean Companies,Finance,4332502865688.0,18604876500818.0,18681876520511.0
KR,All South Korean Companies,Health Services,62728138930.0,211425429040.0,211425429040.0
KR,All South Korean Companies,Health Technology,1869047972900.0,5742235632237.0,5745331226555.0
KR,All South Korean Companies,Industrial Services,1993346036098.0,4360780682502.0,4360780618102.0
KR,All South Korean Companies,Miscellaneous,24810477316.0,79867348390.0,113776929915.0
KR,All South Korean Companies,Non-Energy Minerals,1524710030426.0,3720774620658.0,3827662016029.0
KR,All South Korean Companies,Process Industries,1953374309933.0,6653995625891.0,6963188109431.0
KR,All South Korean Companies,Producer Manufacturing,15157626563524.0,46436757668133.0,46470202047006.0
KR,All South Korean Companies,Retail Trade,545026251547.0,1184158469369.0,1196006289188.0
KR,All South Korean Companies,Technology Services,1902090262341.0,5242481461743.0,5599322044058.0
KR,All South Korean Companies,Transportation,470346531625.0,1059901277924.0,1059901277924.0
KR,All South Korean Companies,Utilities,278022549950.0,761392614400.0,761392614400.0
KR,KOSPI Composite Index,Commercial Services,170357066431.0,598469108727.0,598469108727.0
KR,KOSPI Composite Index,Communications,150410920905.0,367215027336.0,367215027336.0
KR,KOSPI Composite Index,Consumer Durables,3099290076713.0,8197728879539.0,8212590032853.0
KR,KOSPI Composite Index,Consumer Non-Durables,702802728603.0,2027441927372.0,2057925661980.0
KR,KOSPI Composite Index,Consumer Services,139339322191.0,398707860902.0,398707860902.0
KR,KOSPI Composite Index,Distribution Services,217258314670.0,763066912525.0,763066912525.0
KR,KOSPI Composite Index,Electronic Technology,24229059000637.0,76337681342907.0,77244971297445.0
KR,KOSPI Composite Index,Energy Minerals,203597962220.0,702184115465.0,702184115465.0
KR,KOSPI Composite Index,Finance,4052857810423.0,17359096867182.0,17421816979764.0
KR,KOSPI Composite Index,Health Technology,571764534477.0,1756228114218.0,1756228114218.0
KR,KOSPI Composite Index,Industrial Services,1790262828800.0,3701515050723.0,3701515050723.0
KR,KOSPI Composite Index,Miscellaneous,25387177820.0,99278904400.0,99278904400.0
KR,KOSPI Composite Index,Non-Energy Minerals,1282933943403.0,3237331733684.0,3237335078694.0
KR,KOSPI Composite Index,Process Industries,1300037426453.0,4258435292332.0,4289394279536.0
KR,KOSPI Composite Index,Producer Manufacturing,8764475370997.0,27719258694168.0,27720217506156.0
KR,KOSPI Composite Index,Retail Trade,185333495855.0,522768382745.0,522768632045.0
KR,KOSPI Composite Index,Technology Services,716531045870.0,1889386104359.0,1889386104359.0
KR,KOSPI Composite Index,Transportation,458449404075.0,1001349928820.0,1001349928820.0
KR,KOSPI Composite Index,Utilities,231788963400.0,646493112670.0,646493112670.0
TW,All Taiwan Companies,Commercial Services,26891829456.1,134019210034.75,134019210034.75
TW,All Taiwan Companies,Communications,3162844307.55,11185593461.5,11185593461.5
TW,All Taiwan Companies,Consumer Durables,13728611433.95,53266027943.64,53266027943.64
TW,All Taiwan Companies,Consumer Non-Durables,2417119298.37,7928304179.44,7929192298.04
TW,All Taiwan Companies,Consumer Services,1565345735.43,4888119778.38,4891182521.78
TW,All Taiwan Companies,Distribution Services,16644169920.25,54359843110.0,54359843110.0
TW,All Taiwan Companies,Electronic Technology,1151238332230.47,4583385711740.32,4583385711740.32
TW,All Taiwan Companies,Energy Minerals,865689239.9999999,2308521127.2,2308521127.2
TW,All Taiwan Companies,Finance,27432078603.29,100625532986.27,100625532986.27
TW,All Taiwan Companies,Health Services,93503407.4,392323410.35,392323410.35
TW,All Taiwan Companies,Health Technology,5937985634.68,23845151294.7,23845151294.7
TW,All Taiwan Companies,Industrial Services,10069859782.18,40453902178.38,40453902178.38
TW,All Taiwan Companies,Miscellaneous,665948.5499999999,2313713.65,2313713.65
TW,All Taiwan Companies,Non-Energy Minerals,23236183364.06,51973581058.67,51973581058.67
TW,All Taiwan Companies,Process Industries,62089586643.13,219990643912.77,219991533222.72
TW,All Taiwan Companies,Producer Manufacturing,134754760194.74,547118111691.1,547118111691.1
TW,All Taiwan Companies,Retail Trade,2695040213.46,8935823749.460001,8936249436.16
TW,All Taiwan Companies,Technology Services,17621213758.56,72296868567.78,72296868567.78
TW,All Taiwan Companies,Transportation,8372657899.98,29201010523.56,29201010523.56
TW,All Taiwan Companies,Unknown,46000076.55,184487199.0,184487199.0
TW,All Taiwan Companies,Utilities,814251244.8,3177472034.2999997,3177472034.2999997
TW,FTSE TWSE Taiwan 50 Index,Communications,3049519263.8,10707959132.3,10707959132.3
TW,FTSE TWSE Taiwan 50 Index,Consumer Non-Durables,223083225.7,809888292.8,809888292.8
TW,FTSE TWSE Taiwan 50 Index,Distribution Services,262605984.0,743224336.0,743224336.0
TW,FTSE TWSE Taiwan 50 Index,Electronic Technology,356440520621.1,1450177324805.7,1450177324805.7
TW,FTSE TWSE Taiwan 50 Index,Energy Minerals,859563418.0999999,2290345919.5,2290345919.5
TW,FTSE TWSE Taiwan 50 Index,Finance,22504980739.7,83325750177.7,83325750177.7
TW,FTSE TWSE Taiwan 50 Index,Non-Energy Minerals,1914600954.65,7214110309.5,7214110309.5
TW,FTSE TWSE Taiwan 50 Index,Process Industries,9835149383.1,46939964847.6,46939964847.6
TW,FTSE TWSE Taiwan 50 Index,Producer Manufacturing,5759427882.200001,15005559995.95,15005559995.95
TW,FTSE TWSE Taiwan 50 Index,Retail Trade,2007724232.3000002,6150840590.0,6150840590.0
TW,FTSE TWSE Taiwan 50 Index,Transportation,3523273447.4,16289219163.3,16289219163.3
CN,All Chinese Companies,Commercial Services,91638745485.81,176724558671.5,176921236087.84
CN,All Chinese Companies,Communications,10548572743.44,22777665161.98,22777665161.98
CN,All Chinese Companies,Consumer Durables,64958583735.404,136058463386.00804,137304297483.05803
CN,All Chinese Companies,Consumer Non-Durables,51502118656.70822,114285238855.25536,115193896044.03535
CN,All Chinese Companies,Consumer Services,19645020006.645473,41404482399.46208,41404482399.46208
CN,All Chinese Companies,Distribution Services,53219332922.28,109203125611.18,109658207439.13
CN,All Chinese Companies,Electronic Technology,926854273180.9542,1902975160312.8982,1904046016698.9182
CN,All Chinese Companies,Energy Minerals,32884930615.022907,60378247382.81771,60378247382.81771
CN,All Chinese Companies,Finance,109863415843.97359,233272043307.67285,233272043307.67285
CN,All Chinese Companies,Health Services,7184240463.24,11704645721.35,11704645721.35
