Market,MarketName,Sector,Fetch_Time,Value.Traded,Value.Traded|1W,Value.Traded|1M
JP,Japan 225 Index,Commercial Services,2026-05-27 23:39:21,47011719000.0,138145506000.0,759250104200.0
JP,Japan 225 Index,Communications,2026-05-27 23:39:21,831432822240.0,2449387191320.0,10457176511110.0
JP,Japan 225 Index,Consumer Durables,2026-05-27 23:39:21,359217349040.0,1095668862700.0,7680160422660.0
JP,Japan 225 Index,Consumer Non-Durables,2026-05-27 23:39:21,112838672450.0,336552752800.0,2112400252050.0
JP,Japan 225 Index,Consumer Services,2026-05-27 23:39:21,16446836100.0,49412844000.0,312338184300.0
JP,Japan 225 Index,Distribution Services,2026-05-27 23:39:21,136705643850.0,377863499750.0,2859668076600.0
JP,Japan 225 Index,Electronic Technology,2026-05-27 23:39:21,3993406046750.0,10855906365600.0,51728689100300.0
JP,Japan 225 Index,Energy Minerals,2026-05-27 23:39:21,28203975450.0,98425308400.0,664562963300.0
JP,Japan 225 Index,Finance,2026-05-27 23:39:21,556829540700.0,1590124987300.0,9714535496550.0
JP,Japan 225 Index,Health Technology,2026-05-27 23:39:21,197844541900.0,492228475200.0,3228399110050.0
JP,Japan 225 Index,Industrial Services,2026-05-27 23:39:21,42916529000.0,149409751300.0,944414024700.0
JP,Japan 225 Index,Non-Energy Minerals,2026-05-27 23:39:21,166029996610.0,461562983100.0,3467770019210.0
JP,Japan 225 Index,Process Industries,2026-05-27 23:39:21,271361962280.0,763008574610.0,4666712950870.0
JP,Japan 225 Index,Producer Manufacturing,2026-05-27 23:39:21,1601555856410.0,4619270832290.0,29466001255520.0
JP,Japan 225 Index,Retail Trade,2026-05-27 23:39:21,190883918300.0,478103709000.0,2927014919000.0
JP,Japan 225 Index,Technology Services,2026-05-27 23:39:21,209596684140.0,495704186180.0,3454278302680.0
JP,Japan 225 Index,Transportation,2026-05-27 23:39:21,102637680650.0,285907953740.0,1818801125460.0
JP,Japan 225 Index,Utilities,2026-05-27 23:39:21,60514669030.0,157006553720.0,978001382500.0
JP,All Japanese companies,Commercial Services,2026-05-27 23:39:21,108079193460.0,295063602400.0,1632017804780.0
JP,All Japanese companies,Communications,2026-05-27 23:39:21,835389102440.0,2462939217320.0,10547341510210.0
JP,All Japanese companies,Consumer Durables,2026-05-27 23:39:21,403500975490.0,1237602761050.0,8575694746860.0
JP,All Japanese companies,Consumer Non-Durables,2026-05-27 23:39:21,199051634030.0,583276634790.0,3800382452350.0
